START_TIME,COMPLEX_NO,DATA_SYSTEM_CODE,BANK_CODE,VERSION,MS_SYSTEM_CODE,EN_CODE,DATA_LEN,PROTOCOL_TYPE,REQUEST_TYPE,CLIENT_IP,SERIAL_NO,EXT_DATA,UNIQUE_NO,USER_DATA
07:07:55,826,21.160.31.145-KS-070755,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,070755, ,D1E4D1BBC5F24C00AAED87F285C88B8E,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:07:55,901,21.160.31.145-KS-070755,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,070755, ,5D9B2E49A58B4A369C1FEDEE03BEB18F,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420624198604065154|��˼��</uniqMetadata></req>
07:09:13,392,21.160.31.151-KS-070913,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,070913, ,6AD13ECA4B7148108882B3BFCF387043,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:09:13,468,21.160.31.151-KS-070913,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,070913, ,0B37115B7A654736A817CE9C50BE89F0,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422802198503275042|�����</uniqMetadata></req>
07:09:16,390,21.160.31.145-KS-070916,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,070916, ,595DDE3F74AD4EABA32D38DA037F9B17,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:09:16,465,21.160.31.145-KS-070916,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.145,070916, ,0DEC59A1439E4F3B97EFD8CD790BE0A0,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420323199206284433|����</uniqMetadata></req>
07:10:28,512,21.160.31.151-KS-071028,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071028, ,F7F1FF6AEFC74CEAB4392C17EEE64A2A,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:10:28,588,21.160.31.151-KS-071028,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.151,071028, ,E675FF4129F94A29B90AA2D1DFF59E0A,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422801199409183422|����</uniqMetadata></req>
07:10:47,756,21.160.31.145-KS-071047,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071047, ,9C5742A13D6D439D99188EA833334094,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:10:47,831,21.160.31.145-KS-071047,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.145,071047, ,4A54C0BAAF5D4B4BB482403E095FE639,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>421081198512200668|��ΰ</uniqMetadata></req>
07:12:08,295,21.160.31.151-KS-071208,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071208, ,6EFD9FEA885F485F9B6FBAC89E6CD186,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:12:08,370,21.160.31.151-KS-071208,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,071208, ,9B7CE59190EB412AB78ACCA760010CC7,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422825199201220061|��˼��</uniqMetadata></req>
07:12:50,173,21.160.31.145-KS-071250,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071250, ,7116B22531C0493C9F52251923195643,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:12:50,248,21.160.31.145-KS-071250,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,071250, ,64D688F78D1C49F8A69930112782BF37,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420323197406014420|������</uniqMetadata></req>
07:13:21,678,21.160.31.151-KS-071321,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071321, ,06F0ECDA6DA3449EBA5D7A1EDF37B959,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:13:21,753,21.160.31.151-KS-071321,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,071321, ,05861E4A5A73404F9EDADB932F1D6948,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422801195604023661|��ƽ��</uniqMetadata></req>
07:13:42,275,21.160.31.145-KS-071342,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071342, ,D899D53BEFF24B78A3C8044865467AC5,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:13:42,350,21.160.31.145-KS-071342,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,071342, ,74592DFCA8A24AF490F32392319DC0F8,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>610627199612260389|������</uniqMetadata></req>
07:14:12,718,21.160.31.151-KS-071412,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071412, ,AFE556B366FD462FB39DD28848BBF414,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:14:12,793,21.160.31.151-KS-071412,cbip,003,0301,cbip, ,140,2,DownloadByPkuuid,21.160.31.151,071412, ,60C446830D304C25A7EB77AE8B1FC301,<?xml version="1.0" encoding="UTF-8"?><req><pkuuid>E97710818DFD419990F6FA088A14D8BB</pkuuid><includeContentFile>Y</includeContentFile></req>
07:14:45,069,21.160.31.145-KS-071444,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071444, ,A66D385F636D4083BB8F2D116ED455C2,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:14:45,144,21.160.31.145-KS-071444,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,071444, ,8B365A938AEF45BD8774F13491340231,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420103198504285724|������</uniqMetadata></req>
07:15:03,706,21.160.31.151-KS-071503,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071503, ,CCB1E4FCAEE14E4FB9420CDE33CCD21C,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:15:03,781,21.160.31.151-KS-071503,cbip,003,0301,cbip, ,140,2,DownloadByPkuuid,21.160.31.151,071503, ,8D32C0FEFD4E44418DB4A80E9E1B1C55,<?xml version="1.0" encoding="UTF-8"?><req><pkuuid>8275BFD19027440DAE474AB841A02964</pkuuid><includeContentFile>Y</includeContentFile></req>
07:15:07,314,21.160.31.145-KS-071507,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071507, ,45BD3253568742ED8E99750CABBEE05A,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:15:07,399,21.160.31.145-KS-071507,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,071507, ,017C54B37B6546DF828DF218845EE941,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420581198509072622|������</uniqMetadata></req>
07:16:03,206,21.160.31.151-KS-071603,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071603, ,E8208D00982645E8BC5B63495182D6A6,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:16:03,281,21.160.31.151-KS-071603,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.151,071603, ,1315ADD4E9A9448D800C4341B3F57601,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422823199310284483|�ų�</uniqMetadata></req>
07:16:26,830,21.160.31.145-KS-071626,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071626, ,F0E84C50B45043CFBEA2AE2A8282FAF1,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:16:26,906,21.160.31.145-KS-071626,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,071626, ,8A651EF75E234FDF801CCE8267CA867C,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>421081197112082338|������</uniqMetadata></req>
07:17:06,595,21.160.31.151-KS-071706,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071706, ,D87F808680494701ACF1EA7435BCAB2A,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:17:06,677,21.160.31.151-KS-071706,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,071706, ,92A42C407BB34BC58B2D2FA5ABB70F7F,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422825196401300214|��ʫ��</uniqMetadata></req>
07:18:13,884,21.160.31.145-KS-071813,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,071813, ,380A7DFCE4074EB5A92AA828D8ED49D1,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:18:13,959,21.160.31.145-KS-071813,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,071813, ,32DC6E08BB114F32832301BF4BBE2125,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420922198409135317|������</uniqMetadata></req>
07:18:58,270,21.160.31.151-KS-071858,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,071858, ,36011A71960B4ADDA2DE5C9491136717,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:18:58,345,21.160.31.151-KS-071858,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.151,071858, ,0EE8FCA07EF14EB085FA811584BB0E42,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422828199810230045|�ƾ�</uniqMetadata></req>
07:20:17,454,21.160.31.145-KS-072017,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,072017, ,147FFF160BF9474AA7E7E790241C9BEC,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:20:17,530,21.160.31.145-KS-072017,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,072017, ,0C0FB6F2BF314ED8814A254C7C7DC200,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420922197011107311|�����</uniqMetadata></req>
07:21:03,660,21.160.31.151-KS-072103,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,072103, ,1DAD88AC933D4B82A00AFB72646E16F6,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:21:03,735,21.160.31.151-KS-072103,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,072103, ,BAE5DE2B3DD649B695C62BE0DBF8C9BD,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422801192912240656|���</uniqMetadata></req>
07:21:41,419,21.160.31.145-KS-072141,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,072141, ,E4018C1FF4A449F9850D52AD7CC62726,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:21:41,494,21.160.31.145-KS-072141,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,072141, ,98876A1715E547E2BFFC8DB73F5CADBB,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420222196209118355|�����</uniqMetadata></req>
07:21:56,040,21.160.31.151-KS-072155,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,072155, ,4C3E1ACA320D452FA804E4CF296B48E7,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:21:56,115,21.160.31.151-KS-072155,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,072155, ,C61DBC69956D4E3AB796AC8967B9E1D7,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422802199005096820|������</uniqMetadata></req>
07:23:12,935,21.160.31.151-KS-072312,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,072312, ,2AC793FBE0BE430E929E1535E3FFF95D,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:23:13,011,21.160.31.151-KS-072312,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.151,072312, ,987FD412615F4617A01448A3A3208FEC,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422801198007012028|��ƽ</uniqMetadata></req>
07:23:32,349,21.160.31.145-KS-072332,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,072332, ,381AC75BCD1D4EF6A672737B161C73E5,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:23:32,424,21.160.31.145-KS-072332,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.145,072332, ,1E102A59A5F44D03BABA82674D510777,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422201197904152218|�ܻ�</uniqMetadata></req>
07:24:45,456,21.160.31.151-KS-072445,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,072445, ,7C065FE69613482CB6AABA80F9826B9C,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:24:45,531,21.160.31.151-KS-072445,cbip,003,0301,cbip, ,140,2,DownloadByPkuuid,21.160.31.151,072445, ,F101617C4A46409B9C29884E357FC05F,<?xml version="1.0" encoding="UTF-8"?><req><pkuuid>46871D9F94F845828194A46D97B7B3BB</pkuuid><includeContentFile>Y</includeContentFile></req>
07:25:26,705,21.160.31.145-KS-072526,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,072526, ,6423361E62194FE589D6113FF4C20869,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:25:26,780,21.160.31.145-KS-072526,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,072526, ,3AE3EE2FC504479DBEAFE8088D6EEC33,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422124196407207649|�ߴ���</uniqMetadata></req>
07:25:43,964,21.160.31.151-KS-072543,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,072543, ,5D3E205FDAC1444485CABB8E2BBC0108,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:25:44,039,21.160.31.151-KS-072543,cbip,003,0301,cbip, ,140,2,DownloadByPkuuid,21.160.31.151,072543, ,C4434107F83344C69CF4FEE9AFA3786F,<?xml version="1.0" encoding="UTF-8"?><req><pkuuid>839B446E30854076B421E61CFC78B761</pkuuid><includeContentFile>Y</includeContentFile></req>
07:26:47,399,21.160.31.145-KS-072647,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,072647, ,BEC0F0024D54451EB49608521B83649F,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:26:47,475,21.160.31.145-KS-072647,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,072647, ,14BEB55D3DE4455F930FF2D0EE274B37,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420117199102286743|���</uniqMetadata></req>
07:27:14,603,21.160.31.151-KS-072714,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,072714, ,BA9044EC56B84ABDA47FBD29730FC303,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:27:14,678,21.160.31.151-KS-072714,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.151,072714, ,808AB46E155C4A549E1908CCAB9776B4,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>422801194205120611|�뿪��</uniqMetadata></req>
